InternalName,ID,Flags,TraitCurrencyID
10.0 Professions - Blacksmithing - Tab Unlock Cost - Test (HRO),28,0,0
10.0 Professions - Blacksmithing - Knowledge - Test (HRO),29,0,0
10.0 Professions - Blacksmithing - Armorsmithing Children Cost - Test (HRO),30,0,0
Validation Test Sourced Cost (AMK),31,0,0
10.0 Professions - Blacksmithing - Large Plate Armor Children Cost - Test (HRO),32,0,0
10.0 Professions - Blacksmithing - Sculpted Armor Children Cost - Test (HRO),33,0,0
Validation Test Gold Cost (AMK),34,0,0
Validation Test Currency Cost (AMK),35,0,0
Group cost,166,0,0
Group cost,167,0,0
Group cost,172,0,0
Group cost,173,0,0
Group cost,176,0,0
Group cost,177,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,197,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,198,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,199,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,200,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,201,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,202,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Helms - Child Unlock Cost,203,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Sculpted Armor - Child Unlock Cost,204,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Greaves - Child Unlock Cost,205,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Shields - Child Unlock Cost,206,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Breastplates - Child Unlock Cost,207,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Large Plate Armor - Child Unlock Cost,208,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Armorsmithing - Child Unlock Cost,209,0,0
10.0 Professions - Blacksmithing - Armorsmithing- Tab Unlock Cost,210,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Path Spend Cost,211,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Gauntlets - Child Unlock Cost,212,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Vambraces - Child Unlock Cost,213,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Belts - Child Unlock Cost,214,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Fine Armor - Child Unlock Cost,215,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Sabatons - Child Unlock Cost,216,0,0
10.0 Professions - Blacksmithing - Armorsmithing - Pauldrons - Child Unlock Cost,217,0,0
