Requirement_lang,ID,TraitCurrencyID,Field_10_0_0_44649_003,Field_10_0_0_44649_004,AchievementID,PlayerLevel,TraitNodeEntryID,OrderIndex
,14,25,4,0,0,10,0,0
,423,84,31,0,0,60,0,0
,424,85,30,0,0,60,0,0
,1950,136,1,0,0,33,0,0
,1951,136,1,0,0,35,0,0
,1952,136,1,0,0,67,0,0
,1953,136,1,0,0,39,0,0
,1954,136,1,0,0,45,0,0
,1955,136,1,0,0,21,0,0
,1956,136,1,0,0,55,0,0
,1957,136,1,0,0,59,0,0
,1958,136,1,0,0,63,0,0
,1959,136,1,0,0,31,0,0
,1960,136,1,0,0,11,0,0
,1961,136,1,0,0,61,0,0
,1962,136,1,0,0,29,0,0
,1963,136,1,0,0,27,0,0
,1964,136,1,0,0,57,0,0
,1965,136,1,0,0,25,0,0
,1966,136,1,0,0,23,0,0
,1967,136,1,0,0,53,0,0
,1968,136,1,0,0,51,0,0
,1969,136,1,0,0,49,0,0
,1970,136,1,0,0,47,0,0
,1971,136,1,0,0,19,0,0
,1972,136,1,0,0,43,0,0
,1973,136,1,0,0,17,0,0
,1974,136,1,0,0,41,0,0
,1975,136,1,0,0,15,0,0
,1976,136,1,0,0,69,0,0
,1977,136,1,0,0,37,0,0
,1978,136,1,0,0,13,0,0
,1979,136,1,0,0,65,0,0
,1980,137,1,0,0,10,0,0
,1981,137,1,0,0,58,0,0
,1982,137,1,0,0,60,0,0
,1983,137,1,0,0,42,0,0
,1984,137,1,0,0,46,0,0
,1985,137,1,0,0,62,0,0
,1986,137,1,0,0,64,0,0
,1987,137,1,0,0,50,0,0
,1988,137,1,0,0,66,0,0
,1989,137,1,0,0,68,0,0
,1990,137,1,0,0,70,0,0
,1991,137,1,0,0,54,0,0
,1992,137,1,0,0,56,0,0
,1993,137,1,0,0,40,0,0
,1994,137,1,0,0,24,0,0
,1995,137,1,0,0,38,0,0
,1996,137,1,0,0,22,0,0
,1997,137,1,0,0,52,0,0
,1998,137,1,0,0,36,0,0
,1999,137,1,0,0,20,0,0
,2000,137,1,0,0,34,0,0
,2001,137,1,0,0,18,0,0
,2002,137,1,0,0,48,0,0
,2003,137,1,0,0,32,0,0
,2004,137,1,0,0,16,0,0
,2005,137,1,0,0,30,0,0
,2006,137,1,0,0,14,0,0
,2007,137,1,0,0,44,0,0
,2008,137,1,0,0,28,0,0
,2009,137,1,0,0,12,0,0
,2010,137,1,0,0,26,0,0
,2072,140,1,0,0,69,0,0
,2073,140,1,0,0,55,0,0
,2074,140,1,0,0,29,0,0
,2075,140,1,0,0,25,0,0
,2076,140,1,0,0,53,0,0
,2077,140,1,0,0,33,0,0
,2078,140,1,0,0,51,0,0
,2079,140,1,0,0,49,0,0
,2080,140,1,0,0,47,0,0
,2081,140,1,0,0,45,0,0
,2082,140,1,0,0,43,0,0
,2083,140,1,0,0,41,0,0
,2084,140,1,0,0,39,0,0
,2085,140,1,0,0,37,0,0
,2086,140,1,0,0,35,0,0
,2087,140,1,0,0,31,0,0
,2088,140,1,0,0,27,0,0
,2089,140,1,0,0,23,0,0
