ID,ItemID,ItemConversionID
1,188938,1
2,188864,2
3,188863,2
4,188868,2
5,188866,2
6,188867,2
7,188894,2
8,188898,2
9,188892,2
10,188893,2
11,188896,2
12,188849,2
13,188853,2
14,188847,2
15,188848,2
16,188851,2
17,188858,2
18,188861,2
19,188859,2
20,188860,2
21,188856,2
22,188839,2
23,188845,2
24,188844,2
25,188842,2
26,188843,2
27,188912,2
28,188916,2
29,188910,2
30,188911,2
31,188914,2
32,188929,2
33,188928,2
34,188933,2
35,188931,2
36,188932,2
37,188875,2
38,188881,2
39,188880,2
40,188878,2
41,188879,2
42,188903,2
43,188907,2
44,188901,2
45,188902,2
46,188905,2
47,188922,2
48,188925,2
49,188923,2
50,188924,2
51,188920,2
52,188884,2
53,188890,2
54,188889,2
55,188887,2
56,188888,2
57,188938,2
58,188937,2
59,188942,2
60,188940,2
61,188941,2
62,188873,2
63,188865,2
64,188870,2
65,188869,2
66,188900,2
67,188899,2
68,188897,2
69,188895,2
70,188871,2
71,188854,2
72,188852,2
73,188850,2
74,188872,2
75,188862,2
76,188857,2
77,188855,2
78,188846,2
79,188838,2
80,188841,2
81,188840,2
82,188918,2
83,188917,2
84,188915,2
85,188913,2
86,188936,2
87,188930,2
88,188935,2
89,188934,2
90,188882,2
91,188874,2
92,188877,2
93,188876,2
94,188909,2
95,188908,2
96,188906,2
97,188904,2
98,188927,2
99,188926,2
100,188921,2
101,188919,2
102,188891,2
103,188883,2
104,188886,2
105,188885,2
106,188945,2
107,188939,2
108,188944,2
109,188943,2
