ID,MapID,SoundOverrideID,ChunkX,ChunkY,SubchunkX,SubchunkY
1879,1116,13,18,24,5,12
1880,1116,13,18,24,6,12
1881,1116,13,18,24,6,13
1882,1116,13,18,24,7,12
1883,1116,13,18,24,8,12
1884,1116,13,18,24,8,11
1885,1116,13,18,24,9,11
1886,1116,13,18,24,10,11
1887,1116,13,18,24,11,11
1888,1116,13,18,24,11,12
1889,1116,13,18,24,10,12
1890,1116,13,18,24,9,12
1891,1116,13,18,24,9,13
1892,1116,13,18,24,8,13
1893,1116,13,18,24,7,13
1894,1116,13,18,24,5,13
1895,1116,13,18,24,5,14
1896,1116,13,18,24,5,15
1897,1116,13,18,24,4,15
1898,1116,13,18,25,4,0
1899,1116,13,18,25,3,0
1900,1116,13,18,25,2,0
1901,1116,13,18,25,2,1
1902,1116,13,18,25,1,1
1903,1116,13,18,25,1,2
1904,1116,13,18,25,1,3
1905,1116,13,18,25,1,4
1906,1116,13,18,25,2,4
1907,1116,13,18,25,2,5
1908,1116,13,18,25,2,6
1909,1116,13,18,25,3,6
1910,1116,13,18,25,3,7
1911,1116,13,18,25,4,7
1912,1116,13,18,25,5,7
1913,1116,13,18,25,5,8
1914,1116,13,18,25,5,9
1915,1116,13,18,25,5,10
1916,1116,13,18,25,5,11
1917,1116,13,18,25,5,12
1918,1116,13,18,25,4,12
1919,1116,13,18,25,3,12
1920,1116,13,18,25,3,13
1921,1116,13,18,25,2,12
1922,1116,13,18,25,2,13
1923,1116,13,18,25,1,13
1924,1116,13,18,25,0,13
1925,1116,13,18,25,0,12
1926,1116,13,18,25,1,12
1927,1116,13,17,25,15,12
1928,1116,13,17,25,14,12
1929,1116,13,17,25,13,12
1930,1116,13,17,25,13,13
1931,1116,13,17,25,12,13
1932,1116,13,17,25,12,14
1933,1116,13,17,25,11,14
1934,1116,13,17,25,11,15
1935,1116,13,17,25,10,15
1936,1116,13,17,25,9,15
1937,1116,13,17,26,9,0
1938,1116,13,17,26,9,1
1939,1116,13,17,26,10,1
1940,1116,13,17,26,10,2
1941,1116,13,17,26,11,2
1942,1116,13,17,26,11,3
1943,1116,13,17,26,12,3
1944,1116,13,17,26,12,4
1945,1116,13,17,26,13,4
1946,1116,13,17,26,13,5
1947,1116,13,17,26,14,5
1948,1116,13,17,26,14,6
1949,1116,13,17,26,15,6
1950,1116,13,17,26,15,7
1951,1116,13,18,26,0,7
1952,1116,13,18,26,1,7
1953,1116,13,18,26,1,6
1954,1116,13,18,26,2,6
1955,1116,13,18,26,3,6
1956,1116,13,18,26,4,6
1957,1116,13,18,26,5,6
1958,1116,13,18,26,6,6
1959,1116,13,18,26,6,5
1960,1116,13,18,26,7,5
1961,1116,13,18,26,8,5
1962,1116,13,18,26,8,4
1963,1116,13,18,26,9,4
1964,1116,13,18,26,10,4
1965,1116,13,18,26,11,4
1966,1116,13,18,26,9,5
1967,1116,13,18,26,10,5
1968,1116,13,18,26,11,5
1969,1116,13,18,26,12,5
1970,1116,13,18,26,12,4
1971,1116,13,18,26,13,4
1972,1116,13,18,26,13,5
1973,1116,13,18,26,14,5
1974,1116,13,18,26,15,5
1975,1116,13,19,26,0,5
1976,1116,13,19,26,0,4
1977,1116,13,19,26,1,4
1978,1116,13,19,26,2,4
1979,1116,13,19,26,2,3
1980,1116,13,19,26,3,3
1981,1116,13,19,26,4,3
1982,1116,13,19,26,4,2
1983,1116,13,19,26,5,2
1984,1116,13,19,26,5,1
1985,1116,13,19,26,6,1
