ID,Type,CurrencyTypesID,Flags,Icon
1,1,2023,0,0
2,1,2024,0,0
3,2,0,0,0
4,1,2030,0,0
5,1,2027,0,0
6,1,2034,0,0
7,1,2028,0,0
8,1,2029,0,0
9,1,2025,0,0
10,1,2035,0,0
11,1,2033,0,0
12,1,2026,0,0
13,2,0,0,0
14,2,0,0,0
15,2,0,0,0
16,2,0,0,0
17,2,0,0,0
18,2,0,0,0
19,2,0,0,0
20,2,0,0,0
21,2,0,0,0
22,2,0,0,0
24,2,0,0,0
25,2,0,0,0
26,2,0,0,0
27,2,0,0,0
28,0,0,0,0
29,1,1166,0,0
84,2,0,4,132136
85,2,0,8,136041
136,2,0,8,0
137,2,0,4,0
140,2,0,8,0
141,2,0,4,0
152,2,0,8,0
153,2,0,4,0
154,2,0,8,0
155,2,0,4,0
156,2,0,8,0
157,2,0,4,0
158,2,0,8,0
159,2,0,4,0
168,2,0,8,0
169,2,0,4,0
170,2,0,8,0
171,2,0,4,0
172,2,0,0,0
173,2,0,0,0
174,2,0,0,0
175,2,0,0,0
178,2,0,8,0
179,2,0,4,0
182,2,0,8,0
183,2,0,4,0
225,2,0,8,0
226,2,0,4,0
292,2,0,0,0
293,2,0,0,0
294,2,0,0,0
295,2,0,0,0
296,2,0,0,0
297,2,0,0,0
298,2,0,0,0
299,2,0,0,0
300,2,0,0,0
301,2,0,0,0
302,2,0,0,0
303,2,0,0,0
304,2,0,0,0
305,2,0,0,0
306,2,0,0,0
307,2,0,0,0
308,2,0,0,0
309,2,0,0,0
310,2,0,0,0
311,2,0,0,0
312,2,0,0,0
313,2,0,0,0
314,2,0,0,0
315,2,0,0,0
316,2,0,0,0
317,2,0,0,0
318,2,0,0,0
319,2,0,0,0
320,2,0,0,0
321,2,0,0,0
322,2,0,0,0
323,2,0,0,0
324,2,0,0,0
325,2,0,0,0
326,2,0,0,0
327,2,0,0,0
328,2,0,0,0
329,2,0,0,0
330,2,0,0,0
331,2,0,0,0
332,2,0,0,0
333,2,0,0,0
334,2,0,0,0
335,2,0,0,0
336,2,0,0,0
337,2,0,0,0
338,2,0,0,0
339,2,0,0,0
340,2,0,0,0
341,2,0,0,0
342,2,0,0,0
343,2,0,0,0
357,2,0,0,0
358,2,0,0,0
359,2,0,0,0
360,2,0,0,0
361,2,0,0,0
362,2,0,0,0
363,2,0,0,0
364,2,0,0,0
365,2,0,0,0
366,2,0,0,0
367,2,0,0,0
368,2,0,0,0
369,2,0,0,0
370,2,0,0,0
371,2,0,0,0
372,2,0,0,0
373,2,0,0,0
374,2,0,0,0
375,2,0,0,0
376,2,0,0,0
377,2,0,0,0
378,2,0,0,0
379,2,0,0,0
380,2,0,0,0
381,2,0,0,0
382,2,0,0,0
383,2,0,0,0
384,2,0,0,0
385,2,0,0,0
386,2,0,0,0
387,2,0,0,0
388,2,0,0,0
389,2,0,0,0
390,2,0,0,0
391,2,0,0,0
392,2,0,0,0
393,2,0,0,0
394,2,0,0,0
395,2,0,0,0
396,2,0,0,0
397,2,0,0,0
398,2,0,0,0
399,2,0,0,0
400,2,0,0,0
401,2,0,0,0
402,2,0,0,0
403,2,0,0,0
404,2,0,0,0
405,2,0,0,0
406,2,0,0,0
407,2,0,0,0
408,2,0,0,0
409,2,0,0,0
410,2,0,0,0
411,2,0,0,0
412,2,0,0,0
413,2,0,0,0
414,2,0,0,0
415,2,0,0,0
416,2,0,0,0
417,2,0,0,0
418,2,0,0,0
419,2,0,0,0
420,2,0,0,0
421,2,0,0,0
422,2,0,0,0
423,2,0,0,0
424,2,0,0,0
425,2,0,0,0
426,2,0,0,0
427,2,0,0,0
428,2,0,0,0
429,2,0,0,0
430,2,0,0,0
431,2,0,0,0
432,2,0,0,0
433,2,0,0,0
434,2,0,0,0
435,2,0,0,0
436,2,0,0,0
437,2,0,0,0
438,2,0,0,0
439,2,0,0,0
440,2,0,0,0
441,2,0,0,0
442,2,0,0,0
443,2,0,0,0
444,2,0,0,0
445,2,0,0,0
446,2,0,0,0
447,2,0,0,0
565,2,0,0,0
566,2,0,0,0
567,2,0,0,0
568,2,0,0,0
569,2,0,0,0
570,2,0,0,0
571,2,0,0,0
572,2,0,0,0
573,2,0,0,0
574,2,0,0,0
575,2,0,0,0
576,2,0,0,0
577,2,0,0,0
638,2,0,0,0
639,2,0,0,0
640,2,0,0,0
641,2,0,0,0
642,2,0,0,0
643,2,0,0,0
644,2,0,0,0
645,2,0,0,0
646,2,0,0,0
647,2,0,0,0
648,2,0,0,0
649,2,0,0,0
650,2,0,0,0
668,2,0,0,0
669,2,0,0,0
670,2,0,0,0
671,2,0,0,0
672,2,0,0,0
673,2,0,0,0
674,2,0,0,0
675,2,0,0,0
676,2,0,0,0
677,2,0,0,0
678,2,0,0,0
679,2,0,0,0
680,2,0,0,0
681,2,0,0,0
682,2,0,0,0
683,2,0,0,0
684,2,0,0,0
685,2,0,0,0
686,2,0,0,0
687,2,0,0,0
688,2,0,0,0
689,2,0,0,0
690,2,0,0,0
691,2,0,0,0
692,2,0,0,0
693,2,0,0,0
694,2,0,0,0
695,2,0,0,0
696,2,0,0,0
697,2,0,0,0
698,2,0,0,0
699,2,0,0,0
700,2,0,0,0
701,2,0,0,0
702,2,0,0,0
703,2,0,0,0
704,2,0,0,0
705,2,0,0,0
706,2,0,0,0
707,2,0,0,0
708,2,0,0,0
709,2,0,0,0
710,2,0,0,0
711,2,0,0,0
712,2,0,0,0
713,2,0,0,0
714,2,0,0,0
719,2,0,0,0
720,2,0,0,0
721,2,0,0,0
722,2,0,0,0
723,2,0,0,0
724,2,0,0,0
725,2,0,0,0
726,2,0,0,0
727,2,0,0,0
728,2,0,0,0
729,2,0,0,0
730,2,0,0,0
733,2,0,8,0
734,2,0,4,0
735,2,0,0,0
736,2,0,0,0
737,2,0,0,0
738,2,0,0,0
739,2,0,0,0
740,2,0,0,0
743,2,0,8,0
744,2,0,4,0
761,2,0,0,0
762,2,0,0,0
763,2,0,0,0
764,2,0,0,0
765,2,0,0,0
766,2,0,0,0
767,2,0,0,0
768,2,0,0,0
769,2,0,0,0
770,2,0,0,0
771,2,0,0,0
772,2,0,0,0
793,2,0,8,0
794,2,0,4,0
795,2,0,0,0
796,2,0,0,0
797,2,0,0,0
798,2,0,0,0
799,2,0,0,0
800,2,0,0,0
801,2,0,0,0
802,2,0,0,0
803,2,0,0,0
804,2,0,0,0
805,2,0,0,0
806,2,0,0,0
807,2,0,0,0
808,2,0,0,0
809,2,0,0,0
810,2,0,0,0
811,2,0,0,0
812,2,0,0,0
815,2,0,8,0
816,2,0,4,0
819,2,0,8,0
820,2,0,4,0
863,2,0,8,0
864,2,0,4,0
867,2,0,8,0
868,2,0,4,0
871,2,0,8,0
872,2,0,4,0
875,2,0,8,0
876,2,0,4,0
879,2,0,8,0
880,2,0,4,0
881,2,0,0,0
882,2,0,0,0
883,2,0,0,0
884,2,0,0,0
885,2,0,0,0
886,2,0,0,0
887,2,0,0,0
888,2,0,0,0
889,2,0,0,0
890,2,0,0,0
891,2,0,0,0
892,2,0,0,0
893,2,0,0,0
894,2,0,0,0
895,2,0,0,0
896,2,0,0,0
897,2,0,0,0
898,2,0,0,0
899,2,0,0,0
900,2,0,0,0
901,2,0,0,0
902,2,0,0,0
903,2,0,0,0
904,2,0,0,0
905,2,0,0,0
906,2,0,0,0
907,2,0,0,0
908,2,0,0,0
909,2,0,0,0
910,2,0,0,0
911,2,0,0,0
912,2,0,0,0
913,2,0,0,0
914,2,0,0,0
915,2,0,0,0
916,2,0,0,0
917,2,0,0,0
918,2,0,0,0
919,2,0,0,0
920,2,0,0,0
921,2,0,0,0
922,2,0,0,0
923,2,0,0,0
924,2,0,0,0
925,2,0,0,0
926,2,0,0,0
927,2,0,0,0
928,2,0,0,0
929,2,0,0,0
930,2,0,0,0
931,2,0,0,0
932,2,0,0,0
933,2,0,0,0
934,2,0,0,0
935,2,0,0,0
936,2,0,0,0
937,2,0,0,0
938,2,0,0,0
939,2,0,0,0
946,2,0,0,0
947,2,0,0,0
948,2,0,0,0
949,2,0,0,0
950,2,0,0,0
951,2,0,0,0
952,2,0,0,0
953,2,0,0,0
954,2,0,0,0
955,2,0,0,0
956,2,0,0,0
957,2,0,0,0
958,2,0,0,0
965,2,0,0,0
966,2,0,0,0
967,2,0,0,0
968,2,0,0,0
969,2,0,0,0
970,2,0,0,0
971,2,0,0,0
972,2,0,0,0
973,2,0,0,0
974,2,0,0,0
975,2,0,0,0
976,2,0,0,0
977,2,0,0,0
1077,2,0,8,0
1078,2,0,4,0
1085,2,0,8,0
1086,2,0,4,0
1091,2,0,8,0
1092,2,0,4,0
1099,2,0,0,0
1100,2,0,0,0
1101,2,0,0,0
1102,2,0,0,0
1103,2,0,0,0
1104,2,0,0,0
1105,2,0,0,0
1106,2,0,0,0
1107,2,0,0,0
1108,2,0,0,0
1109,2,0,0,0
1110,2,0,0,0
1111,2,0,0,0
1112,2,0,0,0
1113,2,0,0,0
1114,2,0,0,0
1115,2,0,0,0
1116,2,0,0,0
1117,2,0,0,0
1118,2,0,0,0
1119,2,0,0,0
1120,2,0,0,0
1121,2,0,0,0
1122,2,0,0,0
1123,2,0,0,0
1124,2,0,0,0
1125,2,0,0,0
1126,2,0,0,0
1127,2,0,0,0
1128,2,0,0,0
1129,2,0,0,0
1130,2,0,0,0
1131,2,0,0,0
1132,2,0,0,0
1133,2,0,0,0
1134,2,0,0,0
1135,2,0,0,0
1136,2,0,0,0
1137,2,0,0,0
1138,2,0,0,0
1139,2,0,0,0
1140,2,0,0,0
1143,2,0,8,0
1144,2,0,4,0
1233,2,0,0,0
1234,2,0,0,0
1235,2,0,0,0
1236,2,0,0,0
1237,2,0,0,0
1238,2,0,0,0
1239,2,0,0,0
1240,2,0,0,0
1241,2,0,0,0
1242,2,0,0,0
1243,2,0,0,0
1244,2,0,0,0
1251,2,0,0,0
1252,2,0,0,0
1253,2,0,0,0
1254,2,0,0,0
1255,2,0,0,0
1256,2,0,0,0
1257,2,0,0,0
1258,2,0,0,0
1259,2,0,0,0
1260,2,0,0,0
1261,2,0,0,0
1262,2,0,0,0
1263,2,0,0,0
1264,2,0,0,0
1265,2,0,0,0
1266,2,0,0,0
1289,2,0,8,0
1290,2,0,4,0
1303,2,0,8,0
1304,2,0,4,0
1307,2,0,8,0
1308,2,0,4,0
1317,2,0,8,0
1318,2,0,4,0
1320,2,0,0,441141
1368,2,0,0,0
1369,2,0,0,0
1370,2,0,0,0
1371,2,0,0,0
1372,2,0,0,0
1373,2,0,0,0
1374,2,0,0,0
1383,2,0,0,0
1384,2,0,0,0
1385,2,0,0,0
1386,2,0,0,0
1387,2,0,0,0
1388,2,0,0,0
1389,2,0,0,0
1390,2,0,0,0
1391,2,0,0,0
1392,2,0,0,0
1393,2,0,0,0
1394,2,0,0,0
1395,2,0,0,0
1396,2,0,0,0
1397,2,0,0,0
1398,2,0,0,0
1399,2,0,0,0
1400,2,0,0,0
1401,2,0,0,0
1402,2,0,0,0
1403,2,0,0,0
1404,2,0,0,0
1405,2,0,0,0
1406,2,0,0,0
1407,2,0,0,0
1408,2,0,0,0
1409,2,0,0,0
1410,2,0,0,0
1411,2,0,0,0
1412,2,0,0,0
1413,2,0,0,0
1414,2,0,0,0
1415,2,0,0,0
1416,2,0,0,0
1417,2,0,0,0
1418,2,0,0,0
1419,2,0,0,0
1420,2,0,0,0
1421,2,0,0,0
1422,2,0,0,0
1423,2,0,0,0
1424,2,0,0,0
1425,2,0,0,0
1426,2,0,0,0
1427,2,0,0,0
1428,2,0,0,0
1429,2,0,0,0
1430,2,0,0,0
1431,2,0,0,0
1432,2,0,0,0
1433,2,0,0,0
1434,2,0,0,0
1435,2,0,0,0
1436,2,0,0,0
1437,2,0,0,0
1438,2,0,0,0
1439,2,0,0,0
1440,2,0,0,0
1441,2,0,0,0
1442,2,0,0,0
1443,2,0,0,0
1444,2,0,0,0
1445,2,0,0,0
1446,2,0,0,0
1447,2,0,0,0
1448,2,0,0,0
1449,2,0,0,0
1450,2,0,0,0
1451,2,0,0,0
1452,2,0,0,0
1453,2,0,0,0
1454,2,0,0,0
1455,2,0,0,0
1456,2,0,0,0
1457,2,0,0,0
1458,2,0,0,0
1459,2,0,0,0
1460,2,0,0,0
1461,2,0,0,0
1462,2,0,0,0
1463,2,0,0,0
1464,2,0,0,0
1465,2,0,0,0
1466,2,0,0,0
1467,2,0,0,0
1468,2,0,0,0
1469,2,0,0,0
1470,2,0,0,0
1471,2,0,0,0
1472,2,0,0,0
1473,2,0,0,0
1474,2,0,0,0
1475,2,0,0,0
1476,2,0,0,0
1477,2,0,0,0
1478,2,0,0,0
1481,2,0,8,0
1482,2,0,4,0
1486,2,0,0,4640486
1491,2,0,8,0
1492,2,0,4,0
1513,2,0,8,0
1514,2,0,4,0
1517,2,0,8,0
1518,2,0,4,0
1519,2,0,0,0
1520,2,0,0,0
1521,2,0,0,0
1522,2,0,0,0
1525,2,0,8,0
1526,2,0,4,0
1529,2,0,8,0
1530,2,0,4,0
1533,2,0,8,0
1534,2,0,4,0
1535,2,0,0,0
1536,2,0,0,0
1537,2,0,0,0
1538,2,0,0,0
1539,2,0,0,0
1540,2,0,0,0
1541,2,0,0,0
1542,2,0,0,0
1543,2,0,0,0
1552,2,0,8,0
1553,2,0,4,0
1556,2,0,8,0
1557,2,0,4,0
1560,2,0,8,0
1561,2,0,4,0
1564,2,0,8,0
1565,2,0,4,0
1566,2,0,0,0
1567,2,0,0,0
1568,2,0,0,0
1569,2,0,0,0
1570,2,0,0,0
1573,2,0,8,0
1574,2,0,4,0
1575,2,0,0,0
1576,2,0,0,0
1577,2,0,0,0
1578,2,0,0,0
1579,2,0,0,0
1582,2,0,8,0
1583,2,0,4,0
1586,2,0,8,0
1587,2,0,4,0
1588,2,0,0,0
1589,2,0,0,0
1590,2,0,0,0
1591,2,0,0,0
1592,2,0,0,0
1593,2,0,0,0
1594,2,0,0,0
1595,2,0,0,0
1596,2,0,0,0
1597,2,0,0,0
1598,2,0,0,0
1599,2,0,0,0
1600,2,0,0,0
1601,2,0,0,0
1602,2,0,0,0
1603,2,0,0,0
1604,2,0,0,0
1605,2,0,0,0
1606,2,0,0,0
1607,2,0,0,0
1608,2,0,0,0
1609,2,0,0,0
1610,2,0,0,0
1611,2,0,0,0
1612,2,0,0,0
1613,2,0,0,0
1614,2,0,0,0
1615,2,0,0,0
1616,2,0,0,0
1617,2,0,0,0
1618,2,0,0,0
1619,2,0,0,0
1620,2,0,0,0
1621,2,0,0,0
1622,2,0,0,0
1623,2,0,0,0
1624,2,0,0,0
1625,2,0,0,0
1626,2,0,0,0
1627,2,0,0,0
1628,2,0,0,0
1629,2,0,0,0
1630,2,0,0,0
1631,2,0,0,0
1632,2,0,0,0
1633,2,0,0,0
1634,2,0,0,0
1635,2,0,0,0
1636,2,0,0,0
1637,2,0,0,0
1638,2,0,0,0
1639,2,0,0,0
1640,2,0,0,0
1641,2,0,0,0
1642,2,0,0,0
1643,2,0,0,0
1644,2,0,0,0
1645,2,0,0,0
1646,2,0,0,0
1647,2,0,0,0
1648,2,0,0,0
1649,2,0,0,0
1650,2,0,0,0
1651,2,0,0,0
1652,2,0,0,0
1653,2,0,0,0
1654,2,0,0,0
1659,2,0,8,0
1660,2,0,4,0
1663,2,0,8,0
1664,2,0,4,0
1665,2,0,0,0
1666,2,0,0,0
1667,2,0,0,0
1668,2,0,0,0
1669,2,0,0,0
1670,2,0,0,0
1671,2,0,0,0
1672,2,0,0,0
1673,2,0,0,0
1674,2,0,0,0
1675,2,0,0,0
1676,2,0,0,0
1677,2,0,0,0
1678,2,0,0,0
1679,2,0,0,0
1680,2,0,0,0
1681,2,0,0,0
1682,2,0,0,0
1683,2,0,0,0
1684,2,0,0,0
1685,2,0,0,0
1686,2,0,0,0
1687,2,0,0,0
1688,2,0,0,0
1689,2,0,0,0
1690,2,0,0,0
1691,2,0,0,0
1692,2,0,0,0
1695,2,0,8,0
1696,2,0,4,0
1699,2,0,8,0
1700,2,0,4,0
1703,2,0,8,0
1704,2,0,4,0
1707,2,0,8,0
1708,2,0,4,0
1711,2,0,8,0
1712,2,0,4,0
1715,2,0,8,0
1716,2,0,4,0
1719,2,0,8,0
1720,2,0,4,0
1723,2,0,8,0
1724,2,0,4,0
