FileDataID,Flags,LodCount,ModelResourcesID
116902,0,0,18251
116903,0,0,18270
116904,0,0,18269
116905,0,0,18268
116906,0,0,18267
116907,0,0,18266
116908,0,0,18265
116909,0,0,18264
116910,0,0,18263
116911,0,0,18262
116912,0,0,18261
116913,0,0,18260
116914,0,0,18259
116915,0,0,18258
116916,0,0,18257
116917,0,0,18256
116918,0,0,18255
116919,0,0,18254
116920,0,0,18253
116921,0,0,18252
117170,0,0,18250
117400,0,0,18247
117412,0,3,18246
117437,0,0,18245
117721,0,0,18272
118135,0,0,18271
118355,0,0,18239
118652,0,0,18238
118653,0,0,18241
118654,0,0,18236
118667,0,0,18240
118798,0,0,18235
119063,0,0,18244
119159,0,0,18243
119369,0,3,18249
119376,0,3,18248
119563,0,0,18242
119940,0,0,18230
120263,0,3,18232
120294,0,3,18229
120590,0,0,18234
120791,0,0,18237
121087,0,0,18233
121287,0,0,18231
121608,0,0,18198
121768,0,3,18203
121941,0,0,18152
121942,0,0,18151
121961,0,0,18150
122055,0,0,18228
122414,0,0,18205
122560,0,3,18204
122738,0,0,18202
122815,0,3,18201
122866,0,0,18200
122870,0,0,18199
122877,0,0,18227
122883,0,0,18226
122886,0,0,18225
122889,0,0,18224
122893,0,0,18223
122895,0,0,18222
122899,0,0,18221
122906,0,0,18220
122910,0,0,18219
122914,0,0,18218
122924,0,0,18217
122952,0,0,18216
122953,0,0,18215
122955,0,0,18214
122957,0,3,18213
122961,0,0,18212
122965,0,3,18211
122968,0,0,18210
122971,0,0,18209
122975,0,3,18208
122977,0,0,18207
122982,0,0,18206
122988,0,0,17969
122994,0,0,17968
122997,0,0,17967
122999,0,0,17966
123001,0,0,17965
123004,0,0,17964
123005,0,0,17963
123014,0,0,17962
123020,0,0,17961
123035,0,0,17960
123040,0,0,17959
123051,0,0,17958
123053,0,0,17957
123055,0,3,17956
123058,0,0,17955
123067,0,0,17954
123071,0,3,17953
123079,0,0,17952
123081,0,0,17951
123088,0,0,17950
123090,0,0,17949
123100,0,0,17948
123101,0,0,17947
123105,0,0,17946
123120,0,0,17945
123124,0,0,17944
123129,0,0,17943
123130,0,3,17942
123133,0,0,17941
123137,0,0,17940
123148,0,0,17939
123162,0,0,17938
123170,0,0,17937
123171,0,0,17936
123182,0,0,17935
123194,0,0,18065
123200,0,0,18064
123205,0,0,18063
123214,0,0,18062
123225,0,0,18061
123235,0,0,18060
123240,0,0,18059
123247,0,0,18058
123248,0,0,18057
123249,0,0,18056
123250,0,0,18055
123251,0,0,18054
123265,0,0,18053
123266,0,0,18052
123268,0,0,18051
123275,0,0,18050
123284,0,0,18049
123285,0,0,18048
123288,0,0,18047
123291,0,0,18046
123299,0,0,17463
123304,0,0,17462
123306,0,0,17461
123307,0,0,17460
123320,0,0,17459
123324,0,0,17458
123329,0,0,17457
123335,0,0,17456
123337,0,0,17455
123343,0,0,17454
123344,0,0,17453
123345,0,0,17452
123348,0,0,17451
123355,0,0,17450
123362,0,0,17449
123366,0,0,17448
123367,0,0,17447
123371,0,0,17446
123372,0,0,17445
123375,0,0,17444
123377,0,0,17443
123382,0,0,17442
123388,0,0,17441
123410,0,0,17831
123418,0,0,17830
123441,0,0,17829
123443,0,0,17828
123455,0,0,17827
123457,0,0,17826
123459,0,0,17825
123460,0,0,17824
123461,0,0,17823
123465,0,0,17822
123496,0,0,17821
123497,0,0,17820
123498,0,0,17819
123499,0,3,17818
123500,0,0,17817
123507,0,0,17816
123519,0,0,17801
123522,0,0,17800
123531,0,0,17799
123534,0,0,17798
123538,0,0,17797
123543,0,0,17796
123544,0,0,17795
123553,0,0,17794
123554,0,0,17793
123555,0,0,17792
123570,0,0,17791
123577,0,0,17790
123595,0,0,17789
123598,0,0,17788
123600,0,0,17787
123603,0,0,17738
123610,0,0,17737
123620,0,0,18149
123622,0,0,18148
123629,0,0,18147
123636,0,0,18146
123661,0,0,18145
123664,0,3,18144
123666,0,0,18143
123673,0,0,18142
123678,0,0,18141
123680,0,0,18140
123682,0,0,18139
123688,0,0,18138
123690,0,0,18137
123695,0,0,18136
123698,0,0,18135
123705,0,0,18134
123708,0,0,18133
123709,0,0,18132
123715,0,0,18131
123719,0,3,18130
123722,0,0,18197
123729,0,0,18196
123730,0,0,18195
123747,0,0,18194
123756,0,3,18193
123766,0,0,18192
123767,0,0,18191
123769,0,0,18190
123772,0,0,18189
123788,0,0,18188
123791,0,0,18187
123799,0,0,18186
123808,0,0,18185
123814,0,0,18184
123816,0,0,18183
123818,0,0,18182
123821,0,0,18181
123830,0,0,18180
123831,0,0,18179
123834,0,0,18178
123837,0,0,18177
123839,0,0,18176
123845,0,0,18175
123846,0,0,18174
123847,0,0,18173
123852,0,0,18172
123856,0,0,18171
123862,0,0,18170
123869,0,0,18169
123870,0,0,18168
123876,0,0,18167
123878,0,3,18166
123880,0,0,18165
123882,0,0,18164
123887,0,0,18163
123893,0,0,18162
123900,0,0,18161
123901,0,0,18160
123906,0,0,18159
123908,0,0,18158
123915,0,0,18157
123918,0,0,18156
123929,0,0,18155
123931,0,0,18154
123934,0,0,18153
123939,0,0,18098
123944,0,0,18097
123947,0,0,18096
123949,0,0,18095
123952,0,0,18094
123961,0,0,18093
123972,0,0,18092
123975,0,0,18091
123977,0,0,18090
123979,0,0,18089
123980,0,0,18088
123987,0,0,18087
123990,0,0,18086
124001,0,0,18085
124003,0,0,18084
124004,0,0,18083
124008,0,0,18082
124014,0,0,18081
124022,0,0,18080
124025,0,0,18079
124036,0,0,18078
124038,0,0,18077
124052,0,0,18076
124077,0,0,18075
124078,0,0,18074
124084,0,0,18073
124093,0,0,18072
124095,0,0,18071
124096,0,0,18070
124110,0,0,18069
124118,0,0,18068
124131,0,0,18067
124148,0,0,18066
124155,0,0,18045
124160,0,0,18044
124166,0,0,18043
124169,0,0,3205
124173,0,0,18042
124186,0,0,18041
124192,0,0,18040
124198,0,0,18039
124203,0,0,18038
124204,0,0,18037
124207,0,0,18036
124208,0,0,18035
124209,0,0,18034
124210,0,0,18033
124211,0,0,18032
124224,0,0,18031
124225,0,0,18030
124234,0,0,18029
124235,0,0,18028
124243,0,0,18027
124247,0,0,18026
124248,0,0,18025
124263,0,0,18024
124265,0,0,18023
124272,0,0,18022
124280,0,0,18021
124289,0,0,18020
124290,0,0,18019
124292,0,0,18018
124293,0,3,18017
124297,0,3,18016
124298,0,3,18015
124299,0,0,18014
124313,0,0,18013
124315,0,0,18012
124317,0,0,18011
124324,0,0,18010
124325,0,0,18009
124328,0,0,18008
124329,0,0,18007
124342,0,0,18006
124345,0,0,18005
124348,0,0,18004
124351,0,0,18003
124366,0,0,18002
124367,0,0,18001
124368,0,0,18000
124369,0,0,17999
124377,0,0,17998
124378,0,0,17997
124379,0,0,17996
124380,0,0,17995
124387,0,3,17994
124393,0,0,17993
124410,0,3,17992
124417,0,0,17991
124421,0,0,17990
124424,0,0,17989
124427,0,0,17988
124437,0,0,17987
124440,0,0,17986
124442,0,0,17985
124444,0,0,17984
124448,0,0,17983
124452,0,0,17982
124456,0,0,17981
124463,0,0,17980
124467,0,0,17979
124468,0,0,17978
124472,0,0,17977
124475,0,0,17976
124478,0,0,17975
124482,0,0,17974
124485,0,0,17973
124490,0,0,17972
124494,0,0,17971
124495,0,0,17970
124496,0,0,18129
124500,0,0,18128
124506,0,0,18127
124507,0,0,18126
124508,0,0,18125
124509,0,0,18124
124512,0,0,18123
124515,0,0,18122
124516,0,0,18121
124517,0,0,18120
124521,0,0,18119
124522,0,0,18118
124533,0,0,18117
124534,0,0,18116
124540,0,0,18115
124541,0,0,18114
124544,0,0,18113
124547,0,0,18112
124552,0,0,18111
124553,0,0,18110
124565,0,0,18109
124566,0,0,18108
124569,0,0,18107
124571,0,0,18106
124572,0,0,18105
124576,0,0,18104
124578,0,0,18103
124579,0,0,18102
124580,0,0,18101
124581,0,0,18100
124591,0,0,18099
124601,0,0,17624
124610,0,0,17602
124612,0,0,17601
124614,0,0,17600
124618,0,0,17599
124622,0,0,17598
124630,0,0,17597
124637,0,0,17596
124639,0,0,17595
124640,0,0,17594
124641,0,0,17593
124642,0,0,17592
124643,0,3,17591
124649,0,3,17590
124652,0,0,17589
124656,0,0,17588
124659,0,0,17587
124667,0,0,17586
124670,0,0,17585
124677,0,0,17584
124678,0,0,17583
124682,0,0,17582
124691,0,0,17581
124694,0,0,17580
124695,0,0,17579
124696,0,0,17578
124697,0,0,17577
124711,0,0,17889
124727,0,0,17888
124735,0,0,17887
124738,0,0,17886
124739,0,0,17885
124747,0,0,17884
124753,0,0,17883
124765,0,0,17882
124777,0,0,17881
124779,0,0,17880
124781,0,0,17879
124785,0,0,17878
124790,0,0,17877
124801,0,0,17876
124802,0,0,17875
124804,0,0,17874
124809,0,0,17873
124824,0,0,17868
124827,0,0,17759
124830,0,0,17758
124836,0,3,17757
124841,0,3,17756
124842,0,0,17755
124844,0,0,17754
124850,0,0,17753
124853,0,0,17752
124857,0,0,17751
124865,0,0,17750
124872,0,0,17749
124880,0,0,17748
124890,0,0,17747
124898,0,0,17746
124903,0,0,17745
124904,0,0,17744
124915,0,0,17743
124916,0,0,17742
124917,0,0,17741
124918,0,0,17740
124919,0,0,17739
124920,0,0,17736
124923,0,0,17735
124928,0,0,17734
124932,0,0,17733
124945,0,0,17652
124952,0,3,17651
124956,0,0,17650
124957,0,0,17649
124972,0,0,17648
124973,0,0,17647
124977,0,0,17646
124979,0,0,17645
124981,0,0,17644
124984,0,0,17643
124985,0,0,17642
124986,0,0,17641
124987,0,0,17640
124988,0,0,17639
125009,0,0,17638
125012,0,0,17637
125013,0,0,17636
125017,0,0,17635
125021,0,0,17634
125023,0,0,17633
125024,0,0,17632
125041,0,0,17506
125044,0,0,17505
125045,0,0,17504
125049,0,0,17503
125051,0,0,17502
125059,0,0,17501
125069,0,0,17500
125075,0,0,17499
125078,0,0,17498
125092,0,3,17497
125103,0,0,17496
125108,0,0,17495
125117,0,3,17494
125126,0,0,17493
125131,0,0,17492
125140,0,0,17491
125168,0,0,17872
125170,0,0,17871
125178,0,0,17870
125197,0,0,17869
125203,0,0,17847
125208,0,0,17846
125217,0,3,17845
125218,0,0,17844
125223,0,0,17843
125227,0,0,17842
125228,0,0,17841
125232,0,0,17840
125233,0,0,17839
125234,0,3,17838
125239,0,0,17837
125244,0,0,17836
125247,0,0,17835
125250,0,0,17834
125251,0,3,17833
125254,0,0,17439
125257,0,0,17438
125259,0,0,17437
125260,0,0,17436
125263,0,0,17435
125264,0,0,17434
125293,0,0,17433
125300,0,0,17432
125313,0,0,17431
125317,0,0,17430
125336,0,0,17429
125349,0,0,17428
125358,0,0,17427
125362,0,0,17426
125365,0,0,17425
125367,0,0,17424
125370,0,0,17713
125372,0,0,17712
125374,0,0,17711
125377,0,0,17710
125378,0,0,17709
125389,0,0,17708
125392,0,0,17707
125394,0,0,17706
125395,0,0,17705
125405,0,0,17704
125407,0,0,17703
125417,0,0,17702
125420,0,0,17701
125426,0,0,17700
125427,0,0,17699
125432,0,0,17698
125434,0,0,17697
125435,0,3,17696
125437,0,0,17695
125444,0,0,17694
125446,0,0,17693
125447,0,0,17692
125448,0,0,17691
125449,0,0,17690
125450,0,0,17689
125451,0,0,17688
125452,0,0,17687
125453,0,0,17686
125454,0,0,17685
125497,0,0,17575
125498,0,0,17574
125499,0,0,17573
125500,0,0,17572
125504,0,0,17571
125508,0,0,17570
125512,0,0,17569
125513,0,0,17568
125518,0,0,17567
125519,0,0,17566
125522,0,0,17565
125531,0,3,17564
125546,0,3,17563
125559,0,3,17562
125568,0,3,17623
125576,0,0,17622
125578,0,0,17621
125581,0,0,17620
125583,0,0,17619
125586,0,0,17618
125589,0,0,17617
125593,0,0,17616
125595,0,0,17615
125603,0,0,17916
125614,0,0,17915
125620,0,0,17914
125632,0,0,17913
125644,0,0,17912
125649,0,3,17911
125680,0,3,17934
125687,0,0,17933
125698,0,3,17815
125699,0,3,17814
125715,0,0,17813
125718,0,0,17812
125729,0,0,17811
125741,0,0,17810
125743,0,3,17786
125747,0,0,17785
125763,0,0,17784
125764,0,0,17783
