ID,Tablename,Object_ID,Flags,PushID
113,TRANSMOGILLUSION,66,0,69215
114,TRANSMOGILLUSION,67,0,69215
115,TRANSMOGILLUSION,70,0,69215
116,TRANSMOGILLUSION,71,0,69215
117,SPELL,368509,0,69206
118,SPELLCOOLDOWNS,78205,0,69206
119,SPELLMISC,483337,0,69206
120,SPELLSCRIPT,67597,0,69206
121,SPELLSCRIPT,72868,0,69206
122,SPELLVISUALKITMODELATTACH,445148,0,69206
123,SPELLVISUALKITMODELATTACH,445149,0,69206
124,CREATUREDIFFICULTY,210365,0,69221
125,CREATUREDIFFICULTY,210366,0,69221
126,CREATUREDIFFICULTY,210367,0,69221
127,CREATUREDIFFICULTY,210395,0,69221
128,GAMEOBJECTS,376257,0,69223
129,SKILLLINEABILITY,35273,0,69205
130,SKILLLINEABILITY,36292,0,69205
131,CREATUREDIFFICULTY,210359,0,69220
132,CREATUREDIFFICULTY,210403,0,69220
133,SPAWNLOC,3854151,0,69220
134,SPELLEFFECT,911924,0,69226
135,SPELLEFFECT,915662,0,69226
136,SPELLEFFECT,915737,0,69226
137,SPELLEFFECT,1003281,0,69226
138,SPELLMISC,635135,0,69226
139,CONVERSATIONLINE,45866,0,69209
140,CONVERSATIONLINE,45868,0,69209
141,CONVERSATIONLINE,45875,0,69210
142,CONVERSATIONLINE,45885,0,69211
143,CONVERSATIONLINE,45886,0,69211
144,CONVERSATIONLINE,45898,0,69211
145,CONVERSATIONLINE,45901,0,69211
146,CONVERSATIONLINE,45902,0,69211
147,CONVERSATIONLINE,45908,0,69211
148,CONVERSATIONLINE,45909,0,69211
149,CONVERSATIONLINE,45916,0,69211
150,CONVERSATIONLINE,45917,0,69211
151,CONVERSATIONLINE,45925,0,69211
152,CONVERSATIONLINE,45928,0,69211
153,CONVERSATIONLINE,45938,0,69211
154,CONVERSATIONLINE,45939,0,69211
155,CONVERSATIONLINE,45955,0,69211
156,CONVERSATIONLINE,45957,0,69211
157,CONVERSATIONLINE,45958,0,69211
158,CONVERSATIONLINE,45959,0,69211
159,CONVERSATIONLINE,45965,0,69211
160,CONVERSATIONLINE,45966,0,69211
161,CONVERSATIONLINE,45968,0,69211
162,CONVERSATIONLINE,45969,0,69211
163,CONVERSATIONLINE,45970,0,69211
164,CONVERSATIONLINE,45971,0,69211
165,CONVERSATIONLINE,45992,0,69211
166,CONVERSATIONLINE,45993,0,69211
167,CONVERSATIONLINE,46000,0,69211
168,CONVERSATIONLINE,46375,0,69211
169,MODIFIERTREE,193553,0,69211
170,CONVERSATIONLINE,41821,0,69222
171,CONVERSATIONLINE,41823,0,69222
172,CONVERSATIONLINE,41827,0,69222
173,CONVERSATIONLINE,41828,0,69222
174,CONVERSATIONLINE,41860,0,69222
175,CONVERSATIONLINE,41917,0,69222
176,CONVERSATIONLINE,41922,0,69222
177,CONVERSATIONLINE,41923,0,69222
178,CONVERSATIONLINE,41924,0,69222
179,CONVERSATIONLINE,41930,0,69222
180,CONVERSATIONLINE,45789,0,69222
181,CONVERSATIONLINE,45790,0,69222
182,CONVERSATIONLINE,45791,0,69222
183,CONVERSATIONLINE,45794,0,69222
184,CONVERSATIONLINE,45795,0,69222
185,CONVERSATIONLINE,45866,0,69222
186,CONVERSATIONLINE,45868,0,69222
187,CONVERSATIONLINE,45875,0,69222
188,CONVERSATIONLINE,45885,0,69222
189,CONVERSATIONLINE,45886,0,69222
190,CONVERSATIONLINE,45898,0,69222
191,CONVERSATIONLINE,45901,0,69222
192,CONVERSATIONLINE,45908,0,69222
193,CONVERSATIONLINE,45909,0,69222
194,CONVERSATIONLINE,45916,0,69222
195,CONVERSATIONLINE,45917,0,69222
196,CONVERSATIONLINE,45925,0,69222
197,CONVERSATIONLINE,45928,0,69222
198,CONVERSATIONLINE,45938,0,69222
199,CONVERSATIONLINE,45939,0,69222
200,CONVERSATIONLINE,45943,0,69222
201,CONVERSATIONLINE,45955,0,69222
202,CONVERSATIONLINE,45957,0,69222
203,CONVERSATIONLINE,45958,0,69222
204,CONVERSATIONLINE,45959,0,69222
205,CONVERSATIONLINE,45965,0,69222
206,CONVERSATIONLINE,45966,0,69222
207,CONVERSATIONLINE,45968,0,69222
208,CONVERSATIONLINE,45969,0,69222
209,CONVERSATIONLINE,45971,0,69222
210,CONVERSATIONLINE,45992,0,69222
211,CONVERSATIONLINE,45993,0,69222
212,CONVERSATIONLINE,46000,0,69222
213,CONVERSATIONLINE,46088,0,69222
214,CONVERSATIONLINE,46089,0,69222
215,CONVERSATIONLINE,46090,0,69222
216,CONVERSATIONLINE,46091,0,69222
217,CONVERSATIONLINE,46093,0,69222
218,CONVERSATIONLINE,46094,0,69222
219,CONVERSATIONLINE,46095,0,69222
220,CONVERSATIONLINE,46198,0,69222
221,CONVERSATIONLINE,46199,0,69222
222,CONVERSATIONLINE,46375,0,69222
223,SPAWNREGION,129587,0,69227
224,SPELLVISUALKITMODELATTACH,435994,0,69227
225,SPELLVISUALMISSILE,17049,0,69227
226,CREATURE,176864,0,69228
227,RANDOMTEXT,44980,0,69228
228,CREATURESPELLDATA,41638,0,69234
229,CURVEPOINT,104940,0,69234
230,SPELLEFFECT,986836,0,69234
231,SPELLEFFECT,986837,0,69234
232,SPELLMISC,624630,0,69234
233,SPELLMISC,624631,0,69234
234,SPELLSCRIPT,74125,0,69235
235,SPELLSCRIPT,74376,0,69235
236,CREATUREDIFFICULTY,210075,0,69238
237,CREATUREDIFFICULTY,210078,0,69238
238,CREATUREDIFFICULTY,210082,0,69238
239,CREATUREDIFFICULTY,210083,0,69238
240,CREATUREDIFFICULTY,210149,0,69238
241,SPELLEFFECT,913431,0,69238
242,SPELLEFFECT,913445,0,69238
243,SPELLEFFECT,913447,0,69238
244,SPELLEFFECT,913449,0,69238
245,SPELLEFFECT,913452,0,69238
246,CREATUREDIFFICULTY,204950,0,69239
247,CREATUREDIFFICULTY,204971,0,69239
248,CREATUREDIFFICULTY,205019,0,69239
249,CREATUREDIFFICULTY,205112,0,69239
250,CREATUREDIFFICULTY,205128,0,69239
251,CREATUREDIFFICULTY,208508,0,69239
252,SPELLEFFECT,2716,0,69246
253,SPELLEFFECT,20028,0,69246
254,SPELLVISUALKITMODELATTACH,454493,0,69212
255,SPAWNEVENT,3035283,0,69229
256,SPAWNGROUP,1655236,0,69229
257,SPAWNLOC,2842334,0,69229
258,SPAWNOBJECT,3962921,0,69229
259,SPAWNSQUAD,2930375,0,69229
260,CFG_DATABASES,82,1,69219
261,WORLDSTATEEXPRESSION,36399,0,69217
262,SPELLSCRIPT,70961,0,69232
263,TIMEEVENTDATA,1747,0,69207
264,TIMEEVENTDATA,1748,0,69207
265,TIMEEVENTDATA,1749,0,69207
266,TIMEEVENTDATA,1750,0,69207
267,TIMEEVENTDATA,1751,0,69207
268,TIMEEVENTDATA,1752,0,69207
269,TIMEEVENTDATA,1754,0,69207
270,TIMEEVENTDATA,2248,0,69207
271,AREATRIGGERACTIONSET,28998,0,69250
272,CREATURE,176864,0,69250
273,CREATUREDIFFICULTY,199817,0,69250
274,CREATUREDIFFICULTY,199818,0,69250
275,CREATUREDIFFICULTY,215829,0,69250
276,CREATUREDIFFICULTY,215898,0,69250
277,SPELLEFFECT,984836,0,69250
278,SPELLEFFECT,986852,0,69250
279,SPELLEFFECT,1003691,0,69250
280,SPELLMISC,623370,0,69250
281,SPELLMISC,623380,0,69250
282,SPELLMISC,623381,0,69250
283,SPELLSCRIPT,74077,0,69250
284,SPELLSCRIPT,67454,0,69213
285,SPELLAURAOPTIONS,185750,1,69236
286,SPELLAURAOPTIONS,186600,1,69236
287,SPELLAURAOPTIONS,186655,1,69236
288,SPELLEFFECT,3248,1,69236
289,SPELLEFFECT,317375,1,69236
290,SPELLEFFECT,808016,1,69236
291,SPELLEFFECT,808017,1,69236
292,SPELLEFFECT,834733,1,69236
293,SPELLEFFECT,834994,1,69236
294,SPELLEFFECT,841638,1,69236
295,SPELLEFFECT,890844,1,69236
296,SPELLEFFECT,901577,1,69236
297,SPELLEFFECT,902288,1,69236
298,SPELL,263725,1,69240
299,SPELL,276743,1,69240
300,SPELLCATEGORIES,81456,1,69240
301,SPELLCATEGORIES,81457,1,69240
302,SPELLCOOLDOWNS,26771,1,69240
303,SPELLDESCRIPTIONVARIABLES,215,1,69240
304,SPELLEFFECT,13,1,69240
305,SPELLEFFECT,19796,1,69240
306,SPELLEFFECT,44468,1,69240
307,SPELLEFFECT,297092,1,69240
308,SPELLEFFECT,320858,1,69240
309,SPELLEFFECT,905600,1,69240
310,SPELLEFFECT,905601,1,69240
311,SPELLEFFECTSCALING,15930,1,69240
312,SPELLEFFECTSCALING,15931,1,69240
313,SPELLSCRIPT,4706,1,69240
314,SPELLEFFECT,480070,1,69242
315,SPELLEFFECT,1003545,1,69242
316,SPELLEFFECT,1003546,1,69242
317,SPELLEFFECT,1003547,1,69242
318,SPELLEFFECT,1003799,1,69242
319,SPELLSCRIPT,19536,1,69242
320,SPELLEFFECT,130467,1,69244
321,SPELLEFFECT,179698,1,69244
322,SPELLEFFECT,191138,1,69244
323,SPELLEFFECT,191139,1,69244
324,SPELLSCRIPT,18569,1,69244
325,CREATUREDIFFICULTY,205138,1,69247
326,CREATUREDIFFICULTY,205139,1,69247
327,CREATUREDIFFICULTY,205753,1,69247
328,CREATUREDIFFICULTY,205974,1,69247
329,CREATUREDIFFICULTY,207517,1,69247
330,CREATUREDIFFICULTY,207606,1,69247
331,CREATUREDIFFICULTY,207703,1,69247
332,CREATUREDIFFICULTY,207704,1,69247
333,CREATUREDIFFICULTY,207705,1,69247
334,CREATUREDIFFICULTY,207706,1,69247
335,CREATUREDIFFICULTY,207707,1,69247
336,CREATUREDIFFICULTY,207708,1,69247
337,CREATUREDIFFICULTY,207709,1,69247
338,CREATUREDIFFICULTY,207710,1,69247
339,CREATUREDIFFICULTY,208571,1,69247
340,CREATUREDIFFICULTY,208849,1,69247
341,CREATUREDIFFICULTY,208850,1,69247
342,CREATUREDIFFICULTY,208851,1,69247
343,CREATUREDIFFICULTY,208852,1,69247
344,CREATUREDIFFICULTY,209641,1,69247
345,CREATUREDIFFICULTY,209642,1,69247
346,CREATUREDIFFICULTY,209643,1,69247
347,CREATUREDIFFICULTY,209644,1,69247
348,CREATUREDIFFICULTY,209714,1,69247
349,CREATUREDIFFICULTY,209715,1,69247
350,CREATUREDIFFICULTY,209716,1,69247
351,CREATUREDIFFICULTY,209717,1,69247
352,CREATUREDIFFICULTY,210011,1,69247
353,CREATUREDIFFICULTY,210012,1,69247
354,CREATUREDIFFICULTY,210013,1,69247
355,CREATUREDIFFICULTY,210014,1,69247
356,CREATUREDIFFICULTY,213620,1,69247
357,CREATUREDIFFICULTY,213621,1,69247
358,CREATUREDIFFICULTY,213622,1,69247
359,CREATUREDIFFICULTY,213623,1,69247
360,CREATURESPELLDATA,41028,1,69247
361,JOURNALENCOUNTERSECTION,23928,1,69247
362,JOURNALENCOUNTERSECTION,23929,1,69247
363,JOURNALENCOUNTERSECTION,23930,1,69247
364,JOURNALENCOUNTERSECTION,23931,1,69247
365,JOURNALENCOUNTERSECTION,23932,1,69247
366,JOURNALENCOUNTERSECTION,23933,1,69247
367,JOURNALENCOUNTERSECTION,23935,1,69247
368,JOURNALENCOUNTERSECTION,23936,1,69247
369,JOURNALENCOUNTERSECTION,23937,1,69247
370,JOURNALENCOUNTERSECTION,23938,1,69247
371,JOURNALENCOUNTERSECTION,23939,1,69247
372,JOURNALENCOUNTERSECTION,23941,1,69247
373,JOURNALENCOUNTERSECTION,23942,1,69247
374,JOURNALENCOUNTERSECTION,23959,1,69247
375,JOURNALENCOUNTERSECTION,23960,1,69247
376,JOURNALENCOUNTERSECTION,23962,1,69247
377,JOURNALENCOUNTERSECTION,24046,1,69247
378,JOURNALENCOUNTERSECTION,24047,1,69247
379,JOURNALENCOUNTERSECTION,24085,1,69247
380,JOURNALENCOUNTERSECTION,24236,1,69247
381,JOURNALENCOUNTERSECTION,24379,1,69247
382,JOURNALENCOUNTERSECTION,24546,1,69247
383,JOURNALENCOUNTERSECTION,24572,1,69247
384,JOURNALENCOUNTERSECTION,24622,1,69247
385,JOURNALENCOUNTERSECTION,24623,1,69247
386,JOURNALENCOUNTERSECTION,24624,1,69247
387,JOURNALENCOUNTERSECTION,24625,1,69247
388,JOURNALENCOUNTERSECTION,24626,1,69247
389,JOURNALENCOUNTERSECTION,24627,1,69247
390,JOURNALENCOUNTERSECTION,24628,1,69247
391,JOURNALSECTIONXDIFFICULTY,10265,1,69247
392,JOURNALSECTIONXDIFFICULTY,10266,1,69247
393,JOURNALSECTIONXDIFFICULTY,10267,1,69247
394,JOURNALSECTIONXDIFFICULTY,10268,1,69247
395,SPELLEFFECT,897357,1,69247
396,SPELLEFFECT,897358,1,69247
397,SPELLEFFECT,900011,1,69247
398,SPELLEFFECT,901296,1,69247
399,SPELLEFFECT,907582,1,69247
400,SPELLEFFECT,907583,1,69247
401,SPELLEFFECT,907713,1,69247
402,SPELLEFFECT,910991,1,69247
403,SPELLEFFECT,910992,1,69247
404,SPELLEFFECT,911072,1,69247
405,SPELLEFFECT,911966,1,69247
406,SPELLEFFECT,911967,1,69247
407,SPELLEFFECT,912122,1,69247
408,SPELLEFFECT,912123,1,69247
409,SPELLEFFECT,912124,1,69247
410,SPELLEFFECT,912125,1,69247
411,SPELLEFFECT,912194,1,69247
412,SPELLEFFECT,914434,1,69247
413,SPELLEFFECT,914436,1,69247
414,SPELLEFFECT,915190,1,69247
415,SPELLEFFECT,915404,1,69247
416,SPELLEFFECT,915405,1,69247
417,SPELLEFFECT,915416,1,69247
418,SPELLEFFECT,915596,1,69247
419,SPELLEFFECT,982383,1,69247
420,SPELLEFFECT,983482,1,69247
421,SPELLEFFECT,1003642,1,69247
422,SPELLEFFECT,1003645,1,69247
423,SPELLEFFECT,1003650,1,69247
424,SPELLMISC,478217,1,69247
425,SPELLMISC,478235,1,69247
426,SPELLMISC,478674,1,69247
427,SPELLMISC,480283,1,69247
428,SPELLMISC,482877,1,69247
429,SPELLMISC,482878,1,69247
430,SPELLMISC,622412,1,69247
431,SPELLMISC,622415,1,69247
432,SPELLMISC,622417,1,69247
433,SPELLMISC,622418,1,69247
434,SPELLMISC,622419,1,69247
435,SPELLMISC,622420,1,69247
436,SPELLMISC,622421,1,69247
437,SPELLMISC,622422,1,69247
438,SPELLMISC,622423,1,69247
439,SPELLMISC,622424,1,69247
440,SPELLMISC,622426,1,69247
441,SPELLMISC,622427,1,69247
442,SPELLMISC,622429,1,69247
443,SPELLMISC,622430,1,69247
444,SPELLMISC,632602,1,69247
445,SPELLMISC,635135,1,69247
446,SPELLSCRIPT,71088,1,69247
447,SPELLEFFECT,2780,1,69249
448,SPELLEFFECT,5274,1,69249
449,SPELLEFFECT,486196,1,69249
450,SPELLEFFECT,802659,1,69249
451,SPELLEFFECT,838632,1,69249
452,NAMEDPOINT,135523,0,69251
